_date,total_views,unique_views
2022-03-16,13,2
2022-04-21,1,1
2022-07-19,1,1
2022-07-26,1,1
2022-08-31,1,1
2022-09-08,1,1
2022-11-07,4,2
2022-12-04,1,1
2022-12-27,2,1
2023-02-23,2,1
2023-02-27,2,1
2023-07-04,1,1
2023-07-13,1,1
2023-08-01,1,1
2024-01-07,1,1
2024-02-23,1,1
2024-03-12,1,1
2024-03-18,1,1
2024-05-13,1,1
2024-06-05,1,1
2024-08-02,2,1
2025-06-25,3,1
2025-07-16,1,1
2025-07-26,2,1
2025-09-02,1,1
2025-09-14,1,1
2025-09-16,2,1
2025-09-17,1,1
2025-10-07,15,15
2025-11-09,1,1
2025-11-12,1,1
2025-11-23,1,1
2025-12-14,0,0
2025-12-15,0,0
2025-12-16,0,0
2025-12-17,0,0
2025-12-18,0,0
2025-12-19,0,0
2025-12-20,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-16,0,0
2026-01-17,0,0
